priority,tier,target,type,url,domain_authority,status,owner,next_action,due_date,date_submitted,follow_up_date,result,earned_link,notes
1,3,Connectively,HARO,https://www.connectively.us,,Todo,Yash,"Create account and set alerts for freight forwarding; logistics AI; supply chain; customs; TMS automation; freight technology",2026-05-01,,,,,"Daily 15 min response habit"
2,1,Capterra,Directory,https://www.capterra.com,86,Todo,Yash,"Create FreightMynd vendor profile using directory-submission-copy.md",2026-05-01,,,,,"Likely shared Gartner profile ecosystem"
3,1,GetApp,Directory,https://www.getapp.com,80,Todo,Yash,"Create FreightMynd vendor profile using directory-submission-copy.md",2026-05-01,,,,,"Use same screenshots and copy as Capterra"
4,1,Software Advice,Directory,https://www.softwareadvice.com,78,Todo,Yash,"Create FreightMynd vendor profile using directory-submission-copy.md",2026-05-01,,,,,"Use same Gartner ecosystem assets"
5,1,AlternativeTo,Directory,https://alternativeto.net,79,Todo,Yash,"List FreightMynd as alternative to Raft, Zauber, Freightos, and Pallet",2026-05-02,,,,,"Emphasize custom AI vs SaaS visibility platform"
6,1,Clutch,Directory,https://clutch.co,92,Todo,Yash,"Create B2B service provider listing",2026-05-02,,,,,"Category: AI development, logistics software, custom software"
7,1,GoodFirms,Directory,https://www.goodfirms.co,70,Todo,Yash,"Create service provider listing",2026-05-02,,,,,"Reuse concise company description"
8,1,The Manifest,Directory,https://themanifest.com,76,Todo,Yash,"Create B2B service listing",2026-05-03,,,,,"Often linked to Clutch ecosystem"
9,1,Built In,Directory,https://builtin.com,80,Todo,Yash,"Create technology company profile",2026-05-03,,,,,"Position as freight AI systems company"
10,1,F6S,Startup Directory,https://www.f6s.com,65,Todo,Yash,"Create startup profile",2026-05-03,,,,,"Use founder and company details"
11,1,BetaList,Launch Directory,https://betalist.com,65,Todo,Yash,"Submit FreightMynd launch",2026-05-04,,,,,"Use product-style short description"
12,1,TrustRadius,Review Directory,https://www.trustradius.com,76,Todo,Yash,"Create B2B software vendor profile",2026-05-04,,,,,"Ask existing users for reviews after profile approval"
13,1,Saaspedia,SaaS Directory,https://saaspedia.org,50,Todo,Yash,"Submit SaaS directory listing",2026-05-04,,,,,"Medium priority; check quality before submitting"
14,1,Startup Stash,Tools Directory,https://startupstash.com,60,Todo,Yash,"Submit tools directory listing",2026-05-04,,,,,"Use AI/document automation category if available"
15,6,Bitontree Footer,Owned Network,https://bitontree.com,,Todo,Bitontree,"Add FreightMynd link to footer or relevant services page",2026-05-02,,,,,"Anchor: AI systems for freight forwarders"
16,4,Supply Chain Dive,Editorial,https://www.supplychaindive.com,75,Todo,Yash,"Submit opinion piece pitch: custom freight AI vs SaaS",2026-05-08,,,,,"Use editorial pitch template"
17,4,FreightWaves,Editorial,https://www.freightwaves.com,73,Todo,Yash,"Pitch contributor article to editor@freightwaves.com",2026-05-08,,,,,"Angle: template OCR fails in freight"
18,4,The Loadstar,Editorial,https://theloadstar.com,70,Todo,Yash,"Pitch contributor article to news@theloadstar.com",2026-05-08,,,,,"Angle: production AI in air/sea freight"
19,8,FreightCaviar,Podcast,https://www.freightcaviar.com,,Todo,Yash,"Send guest pitch about production AI in freight forwarding",2026-05-15,,,,,"Use podcast template"
20,9,ROI Calculator,Linkable Asset,https://freightmynd.com,,Todo,Codex,"Scope Freight Automation ROI Calculator as backlinkable free tool",2026-05-22,,,,,"Best candidate for compounding links"

